Date,Month,DayOfWeek,Day,Platform,Campaign_ID,Impressions,Clicks,Spend,Conversions,Revenue
2024-11-16,11,5,16,Google,DataAnalyticsCourse,4498.0,104.0,231.88,7.0,1892.0
2024-11-20,11,2,20,Google,DataAnalyticsCourse,5107.0,173.0,216.84,8.0,1679.0
2024-11-16,11,5,16,Google,Data Anlytics Corse,4544.0,90.0,203.66,9.0,1624.0
2024-11-26,11,1,26,Google,Data Analytcis Course,3185.0,142.0,237.66,6.0,1225.0
2024-11-22,11,4,22,Google,Data Analytics Corse,3361.0,156.0,195.9,8.0,1091.0
2024-11-16,11,5,16,Google,DataAnalyticsCourse,3776.0,195.0,243.57,8.0,1315.0
2024-11-06,11,2,6,Google,Data Analytics Corse,4480.0,116.0,237.79,5.0,1640.0
2024-11-24,11,6,24,Google,Data Analytics Corse,5060.0,184.0,229.61,3.0,1509.0
2024-11-24,11,6,24,Google,Data Analytics Corse,5434.0,113.0,0.0,4.0,1362.0
2024-11-12,11,1,12,Google,Data Analytcis Course,3355.0,166.0,186.78,9.0,1029.0
2024-11-14,11,3,14,Google,DataAnalyticsCourse,5399.0,101.0,236.79,6.0,1900.0
2024-11-22,11,4,22,Google,Data Analytics Corse,3613.0,101.0,208.12,5.0,1130.0
2024-11-27,11,2,27,Google,Data Analytcis Course,3259.0,125.0,191.3,3.0,1959.0
2024-11-12,11,1,12,Google,Data Analytics Corse,3742.0,196.0,207.46,7.0,1623.0
2024-11-04,11,0,4,Google,Data Analytcis Course,4311.0,181.0,185.09,9.0,1538.0
2024-11-29,11,4,29,Google,Data Analytcis Course,5461.0,102.0,201.69,8.0,1755.0
2024-11-10,11,6,10,Google,Data Analytcis Course,5159.0,193.0,0.0,9.0,1614.0
2024-11-12,11,1,12,Google,Data Anlytics Corse,4431.0,149.0,207.4,9.0,1693.0
2024-11-07,11,3,7,Google,Data Analytics Corse,3113.0,150.0,217.41,5.0,1785.0
2024-11-05,11,1,5,Google,Data Analytcis Course,5278.0,145.0,0.0,6.0,1516.0
2024-11-21,11,3,21,Google,Data Analytcis Course,4143.0,184.0,223.3,10.0,1735.0
2024-11-08,11,4,8,Google,Data Analytics Corse,4154.0,171.0,184.23,7.0,1803.0
2024-11-20,11,2,20,Google,Data Analytcis Course,5187.0,122.0,211.24,6.0,1322.0
2024-11-30,11,5,30,Google,Data Anlytics Corse,5798.0,188.0,230.17,5.0,1452.0
2024-11-20,11,2,20,Google,DataAnalyticsCourse,3718.0,87.0,0.0,3.0,1652.0
2024-11-20,11,2,20,Google,DataAnalyticsCourse,3349.0,88.0,181.92,8.0,1456.0
2024-11-02,11,5,2,Google,Data Anlytics Corse,5323.0,119.0,205.92,10.0,1656.0
2024-11-21,11,3,21,Google,Data Analytics Corse,5286.0,0.0,234.89,10.0,1688.0
2024-11-23,11,5,23,Google,Data Anlytics Corse,5469.0,128.0,188.49,3.0,1783.0
2024-11-13,11,2,13,Google,Data Analytcis Course,3351.0,86.0,237.75,9.0,1975.0
2024-11-08,11,4,8,Google,Data Analytics Corse,4834.0,188.0,213.58,4.0,1590.0
2024-11-22,11,4,22,Google,DataAnalyticsCourse,5065.0,113.0,212.37,5.0,1111.0
2024-11-12,11,1,12,Google,Data Analytcis Course,3872.0,0.0,244.38,4.0,1041.0
2024-11-03,11,6,3,Google,Data Analytics Corse,5509.0,176.0,234.59,7.0,1710.0
2024-11-25,11,0,25,Google,Data Analytcis Course,5610.0,121.0,214.96,8.0,0.0
2024-11-01,11,4,1,Google,DataAnalyticsCourse,5275.0,104.0,236.48,9.0,1824.0
2024-11-07,11,3,7,Google,Data Anlytics Corse,5939.0,146.0,242.9,8.0,1833.0
2024-11-09,11,5,9,Google,Data Analytcis Course,5131.0,123.0,0.0,5.0,1307.0
2024-11-16,11,5,16,Google,Data Analytcis Course,5786.0,90.0,197.55,6.0,1704.0
2024-11-26,11,1,26,Google,Data Analytcis Course,4304.0,171.0,192.61,10.0,1427.0
2024-11-12,11,1,12,Google,Data Analytics Corse,5549.0,94.0,231.23,9.0,1849.0
2024-11-14,11,3,14,Google,Data Analytics Corse,4271.0,112.0,196.07,6.0,1209.0
2024-11-09,11,5,9,Google,Data Analytcis Course,4418.0,113.0,191.55,10.0,1634.0
2024-11-29,11,4,29,Google,Data Anlytics Corse,3721.0,145.0,180.95,7.0,1960.0
2024-11-01,11,4,1,Google,DataAnalyticsCourse,5783.0,197.0,204.46,6.0,1729.0
2024-11-15,11,4,15,Google,DataAnalyticsCourse,4866.0,109.0,236.78,5.0,1585.0
2024-11-11,11,0,11,Google,Data Anlytics Corse,5857.0,188.0,222.98,4.0,1303.0
2024-11-08,11,4,8,Google,Data Analytics Corse,5103.0,142.0,234.1,3.0,1835.0
2024-11-24,11,6,24,Google,Data Analytcis Course,4653.0,168.0,240.84,9.0,1367.0
2024-11-21,11,3,21,Google,Data Analytcis Course,3524.0,110.0,248.86,10.0,1524.0
2024-11-12,11,1,12,Google,Data Analytcis Course,5938.0,192.0,182.84,5.0,1080.0
2024-11-24,11,6,24,Google,Data Analytics Corse,3942.0,101.0,206.62,5.0,1746.0
2024-11-25,11,0,25,Google,Data Analytics Corse,3315.0,157.0,189.56,10.0,1026.0
2024-11-26,11,1,26,Google,Data Anlytics Corse,4945.0,113.0,187.66,10.0,1564.0
2024-11-26,11,1,26,Google,Data Analytcis Course,3166.0,96.0,196.15,7.0,1902.0
2024-11-05,11,1,5,Google,Data Analytcis Course,4223.0,125.0,183.68,6.0,1267.0
2024-11-21,11,3,21,Google,Data Analytcis Course,4798.0,104.0,210.1,3.0,1340.0
2024-11-16,11,5,16,Google,Data Anlytics Corse,5655.0,194.0,208.58,6.0,1692.0
2024-11-18,11,0,18,Google,DataAnalyticsCourse,5140.0,144.0,219.48,8.0,1054.0
2024-11-11,11,0,11,Google,Data Analytics Corse,3025.0,179.0,238.81,3.0,0.0
2024-11-16,11,5,16,Google,Data Analytics Corse,5223.0,166.0,189.76,7.0,1219.0
2024-11-11,11,0,11,Google,Data Analytcis Course,5089.0,166.0,0.0,7.0,1946.0
2024-11-08,11,4,8,Google,Data Anlytics Corse,5016.0,118.0,204.31,9.0,1833.0
2024-11-23,11,5,23,Google,DataAnalyticsCourse,3617.0,185.0,222.32,7.0,1963.0
2024-11-20,11,2,20,Google,Data Analytcis Course,3764.0,116.0,232.03,10.0,1348.0
2024-11-05,11,1,5,Google,Data Analytics Corse,4489.0,99.0,183.73,6.0,1264.0
2024-11-27,11,2,27,Google,DataAnalyticsCourse,4441.0,172.0,221.18,8.0,1771.0
2024-11-10,11,6,10,Google,Data Analytcis Course,5751.0,138.0,199.11,9.0,1337.0
2024-11-04,11,0,4,Google,Data Analytcis Course,4036.0,84.0,234.22,10.0,1287.0
2024-11-16,11,5,16,Google,DataAnalyticsCourse,4942.0,124.0,240.59,3.0,1922.0
2024-11-06,11,2,6,Google,Data Analytcis Course,4989.0,122.0,215.48,5.0,1975.0
2024-11-04,11,0,4,Google,Data Analytics Corse,3006.0,180.0,228.14,7.0,1556.0
2024-11-09,11,5,9,Google,DataAnalyticsCourse,3728.0,133.0,199.13,10.0,0.0
2024-11-12,11,1,12,Google,DataAnalyticsCourse,3734.0,164.0,225.39,8.0,1728.0
2024-11-09,11,5,9,Google,Data Analytics Corse,4621.0,150.0,246.3,6.0,1554.0
2024-11-23,11,5,23,Google,Data Analytcis Course,3212.0,97.0,212.55,10.0,1994.0
2024-11-08,11,4,8,Google,Data Anlytics Corse,4225.0,128.0,228.24,4.0,1618.0
2024-11-05,11,1,5,Google,Data Analytics Corse,4779.0,99.0,233.78,10.0,1086.0
2024-11-09,11,5,9,Google,Data Anlytics Corse,5352.0,86.0,234.05,5.0,1364.0
2024-11-05,11,1,5,Google,Data Analytcis Course,5405.0,118.0,187.28,7.0,1836.0
2024-11-25,11,0,25,Google,Data Analytcis Course,5430.0,127.0,199.13,6.0,1932.0
2024-11-30,11,5,30,Google,Data Analytics Corse,4808.0,83.0,241.35,7.0,1038.0
2024-11-17,11,6,17,Google,Data Analytcis Course,3587.0,149.0,217.53,8.0,0.0
